label,nominal,usl,lsl
D0,0.23,0.28,0.18
D1,0.28,0.33,0.23
D2,0.35,0.40,0.30
D3,0.43,0.48,0.38
D4,0.48,0.53,0.43
D5,0.54,0.59,0.49
D6,0.60,0.65,0.55
D7,0.65,0.70,0.60
D8,0.70,0.75,0.65
D9,0.74,0.79,0.69
D10,0.79,0.84,0.74
D11,0.84,0.89,0.79
D12,0.89,0.94,0.84
D13,0.92,0.97,0.87
D14,0.95,1.00,0.90
D15,0.98,1.03,0.93
D16,1.00,1.05,0.95
D17,1.01,1.06,0.96
D18,1.01,1.06,0.96
D19,1.02,1.07,0.97
D20,1.02,1.08,0.97
D21,1.03,1.09,0.98
D22,1.05,1.11,1.00
D23,1.07,1.13,1.02
D24,1.09,1.15,1.03
전장,29.32,29.60,29.00
